participant_id,GM_Vol,WM_Vol
NM3356,650.466223529412,570.089094117647
CH8095a,559.99203479932,401.313407628769
CH7131b,523.588856858752,420.115908081684
NM1023,664.988631372549,482.490807843137
CC8726,697.998038836428,541.356744803892
CC0475,647.995203921569,513.405188235294
CC2430,646.426423529412,508.322921568627
NM2017,738.787407843137,541.805188235294
NM9798,560.046964705882,555.784839215686
NM2075,599.582380392157,595.261078431373
NM4618,759.215494117647,618.542709803922
CC4094,652.468529411765,508.703419607843
ds130281,738.676739539799,608.582708876949
NM5277,593.915760784314,516.313650980392
A00036049,564.418573972711,577.23658568069
A00022592,570.131106219538,516.13300740555
NM2102,660.722247058824,534.335929411765
A00007409,606.370207933927,508.019530018692
NM2025,586.423545098039,543.196549019608
CC7926,647.885376470588,462.043043137255
cf130139,580.448241208327,484.706175995919
CC8323,644.451788235294,472.051325490196
A00027537,649.985221876585,478.457746986024
CH8701a,563.268077285654,478.156076686685
hl100184,621.537253863614,472.128465135069
A00022619,617.487307596168,519.694112524075
CC5006,693.02751372549,456.336294117647
A00020787,642.549351540814,572.700151181869
en110309,565.184692642205,476.776797784839
NM2016,589.292639215686,483.42142745098
ib120411,589.412966114717,426.694278544706
CC0325,636.535243137255,462.044701960784
CC4431,826.86148627451,614.236529411765
A00023590,667.321446165675,546.076577871652
A00022687,575.641278352875,414.329538146782
A00024663,603.895996068197,492.920852413335
NM2105,671.106780392157,521.090137254902
CC1085,863.998479876422,559.821564041294
CC7760,686.345054901961,551.355258823529
CC2199,743.35391372549,572.854282352941
CC0949,727.886443137255,556.420215686274
A00035485,549.996600502725,524.912499055574
NM5231,596.765792156863,535.374819607843
dk100082,650.960403913108,535.893188870074
as100351,667.429021917114,517.231101798917
NM0413,679.272082352941,622.425207843137
CC9540,669.814643137255,519.58057254902
A00037238,632.45109838437,572.096157923434
NM2106,666.510439215686,485.672180392157
NM2082,510.01522745098,511.089058823529
NM1069,560.458607843137,597.883047058824
A00023243,517.933787024972,478.623440828231
CH7510b,618.945590902455,495.474057927579
A00026945,604.662029024345,518.050108915527
NM6385,512.523678431373,423.277733333333
CC5111,746.027250980392,530.505262745098
CC7910,641.118494117647,503.600325490196
A00024372,706.796688120586,572.847455654976
CH7930a,676.922412313092,477.499901196173
CC1386,723.15345467122,570.175142653705
NM2110,588.066415686274,516.496023529412
A00027616,550.170856638798,508.355782938016
CH8350b,531.777924121349,429.899573666368
NM4038,648.417341176471,594.962631372549
A00027391,536.097327167539,472.729764581071
CH7307a,629.077135239727,545.358466348269
NM8352,572.075898039216,485.947776470588
A00037564,706.44230979432,636.882043454566
NM6664,613.133278431373,605.36002745098
A00000909,596.831306059912,522.96241927806
A00022837,709.719903388544,673.89086505274
A00024959,665.46117254902,628.102192156863
CH8041b,671.685482826824,576.402936158689
CH8883a,626.257723899197,476.012615953211
A00001243,503.925511112602,437.737148810233
A00024546,652.744110503858,483.993060222605
yh100442,674.320198537065,608.265304948501
NM2053,575.930890196078,537.905705882353
cb110048,625.774919837816,512.571575031258
CC3499,711.774415686275,467.017854901961
CC4189,736.71348627451,508.751776470588
CH8126b,689.716089395726,490.09730733457
CC2263,612.202603921569,538.59511372549
A00018553,546.027957525518,408.810557399779
CC0486,753.456760784314,534.847556862745
NM1009,598.81408627451,394.520823529412
A00013216,591.283798169343,503.513961829497
NM5079,504.672807843137,380.432549019608
st110288,516.314560210424,417.367690222671
NM2065,571.694717647059,469.64982745098
NM1010,605.061854901961,421.163215686274
NM1021,572.709780392157,559.466196078431
CH8937a,700.324751740819,495.430362993224
CC4183,716.092501960784,541.733266666667
A00023131,607.365837918694,561.369257921746
A00028408,592.216321308448,543.630271053674
CC5562,703.488585982666,460.000581333078
A00023866,744.421450980392,593.065082352941
CH8335b,655.179582428128,496.051172601819
NM1077,524.105333333333,502.583670588235
ip100558,599.618903584625,483.583925775517
CC0202,693.659364705882,508.543152941176
CC3915,889.396407843137,591.308517647059
A00028806,613.04760973715,530.873211343926
ab100179,697.362481389434,495.514655445873
CC8599,704.084176470588,540.446615686275
A00028303,710.427337666596,703.662388979151
A00011265,620.268996294511,511.239805217723
CC1381,672.534058823529,471.395098039216
A00024301,614.165947837248,449.114967468877
NM1002,677.852937254902,673.638270588235
sc100174,588.144264120232,471.082183935921
NM9324,752.219364705882,631.769443137255
A00023095,630.029925490196,476.2988
ra100345,706.089161186423,533.032287239438
CC3037,666.382882352941,528.198458823529
CH7567b,661.244455181588,585.366428464686
CH7059b,635.993423695402,517.464729794755
A00018317,569.699464820842,592.25928687953
A00014120,647.453287377738,625.553391763671
A00016720,691.217860898725,647.447803630423
NM8724,620.174352941176,438.148
A00024568,586.41281766747,477.280996961118
A00036916,709.017114906905,659.103569173553
CC8016,647.838694117647,481.940749019608
CC4994,738.696301960784,514.249925490196
NM2015,586.880921010856,465.21392653067
NM2058,566.230674509804,442.568858823529
nb130338,637.111698227826,537.143549032772
CC6584,618.85571372549,476.052384313725
CC1496,772.096980392157,637.940478431373
NM2022,583.155682352941,507.608282352941
CC6823,654.486592156863,484.576278431373
NM1071,487.823458823529,411.301733333333
A00014804,559.140780027159,518.219217644037
CC0385,652.897560784314,473.603235294118
jd110306,630.294906210293,554.286198680496
A00029452,677.355207633667,562.713019073992
NM2010,688.200741176471,538.024992156863
CH7098a,747.089338243847,586.391159029961
ra120073,772.230277521954,551.601111563475
CH7458a,562.087288549573,414.80713679522
CC2572,612.16982745098,507.042458823529
rs090406,639.060004047331,585.293823274137
CH8301a,803.509542358555,546.540354644515
NM1072,560.596192156863,508.641901960784
rs110014,612.453229352997,569.716343328661
CH7193b,615.386970057125,527.820789722108
A00021598,691.329291978283,517.132584627772
NM5747,467.446278431373,442.866403921569
NM6211,523.502247058824,492.640407843137
NM1085,478.344315715412,382.839001599322
A00004507,564.980881758204,626.975400630927
A00014830,529.99059329736,440.358786039989
A00015759,591.627315480897,542.208363048232
bw100508,637.204204791421,530.622066402884
NM1036,635.702505882353,562.506176470588
A00018434,513.716866846641,485.309987953348
CC9466,662.683828190346,475.754912143719
NM1042,516.861854901961,418.541650980392
A00022727,559.640718275834,476.499703078742
fg130137,669.674911377557,542.732156469285
A00023143,590.981514040954,490.505835713513
A00028404,609.245861310516,575.30197142408
CC9704,594.455286399431,426.742181084238
CH8288a,585.274128092453,442.459461260347
CC5000,698.676211764706,527.162039215686
CH8476a,664.091787336275,631.265724247567
A00036555,574.393717697635,507.369393574327
CH7944a,561.313920659171,438.822825057735
A00021072,509.393356980817,491.215711600297
CH8410a,683.179966919228,545.255937213196
A00016723,645.416335077723,577.08689503204
CH7546a,688.80438784331,496.210836430211
A00022500,509.849701045787,451.238038720897
A00004087,564.938961354582,479.12950219643
ef100424,582.661324785706,434.515840790426
CC6115,642.72837254902,522.21728627451
db100111,487.44162585913,450.408205448609
CH7814b,570.84592222682,511.396873929919
rc130124,808.430717522263,635.551569069327
CC2825,713.726862745098,533.208466666667
CC7537,693.227847058823,478.173850980392
CH7674b,604.498309696117,501.422463568603
NM6433,548.838325490196,455.823976470588
CH8357,611.865352939964,442.467642885097
sd100209,687.594097256141,535.383716310012
CC3945,560.051329411765,423.016129411765
A00034273,550.212617908749,435.595990483818
CC8225,695.419721756808,566.470314605941
A00029226,495.517656516636,398.272652204645
A00022835,672.747808733879,548.970035205834
NM6112,548.473298039216,513.857494117647
CH7176a,546.374597031546,493.199758344082
A00014898,694.786816776018,565.520264726988
NM8659,538.173039215686,491.553019607843
CH8413a,648.810074949048,485.988452761308
A00015826,651.955571624116,439.241796485507
NM2020,654.41076903579,553.712471537177
NM1003,752.056329411765,651.878023529412
A00024955,555.176539615251,521.236950756188
A00024953,664.093076109456,582.517718568499
CC7427,766.893823529412,523.684258823529
A00025969,778.460420127146,741.492388171246
NM1037,557.932819607843,538.472878431373
CH2917,715.262822637181,515.166633019475
A00014522,598.641733935352,596.538526145211
CC8078,724.562882352941,480.725894117647
CH7496a,663.75573202404,632.448470080569
CC6838,690.458207843137,460.994992156863
A00002198,613.469362036672,506.971197276513
NM3455,612.079596078431,608.818431372549
NM7465,590.797121568627,492.442576470588
CC0239,562.220533333333,486.031607843137
NM1089,570.983541176471,551.336443137255
A00021085,621.427647269392,449.75026155466
NM1070,481.260694117647,453.208568627451
CH7779b,477.846299500029,433.340338775367
